Frame,Time,X,Y,Z
832,1.18333,215.587,427.983,446.227
833,1.18666,215.488,428.776,447.85
834,1.1900000000000002,215.181,429.61,449.395
835,1.1933299999999998,215.069,430.459,451.02
836,1.1966599999999998,214.955,431.32,452.639
837,1.2,214.756,432.055,454.058
838,1.20333,214.579,432.929,455.864
839,1.20666,214.306,433.812,457.345
840,1.2100000000000002,214.25,434.563,458.909
841,1.2133299999999998,213.958,435.414,460.552
842,1.2166599999999999,213.862,436.223,462.138
843,1.22,213.724,437.1,463.705
844,1.22333,213.528,437.904,465.312
845,1.22666,213.357,438.601,466.994
846,1.2299999999999998,213.139,439.532,468.39
847,1.2333299999999998,213.122,440.332,470.109
848,1.2366599999999999,212.957,441.207,471.759
849,1.24,212.8,441.969,473.265
850,1.24333,212.637,442.772,474.878
851,1.24666,212.39,443.448,476.525
852,1.2499999999999998,212.249,444.306,478.156
853,1.2533299999999998,212.077,445.033,479.665
854,1.2566599999999999,212.002,445.744,481.325
855,1.26,211.775,446.683,482.937
856,1.26333,211.645,447.412,484.496
857,1.2666600000000001,211.422,448.119,486.204
858,1.2699999999999998,211.296,448.879,487.689
859,1.2733299999999999,211.147,449.644,489.331
860,1.27666,211.093,450.443,490.994
861,1.28,210.957,451.185,492.583
862,1.28333,210.821,451.964,494.18
863,1.2866600000000001,210.745,452.698,495.803
864,1.2899999999999998,210.464,453.483,497.444
865,1.2933299999999999,210.36,454.163,499.047
866,1.29666,210.332,455.015,500.645
867,1.3,210.155,455.751,502.216
868,1.30333,210.129,456.501,503.884
869,1.3066600000000002,209.898,457.214,505.497
870,1.3099999999999998,209.857,457.889,507.087
871,1.3133299999999999,209.706,458.629,508.735
872,1.31666,209.63,459.353,510.395
873,1.32,209.534,460.016,511.971
874,1.3233300000000001,209.435,460.848,513.588
875,1.3266600000000002,209.372,461.474,515.197
876,1.3299999999999998,209.174,462.221,516.808
877,1.33333,209.076,462.91,518.475
878,1.33666,209.047,463.618,520.036
879,1.34,208.91,464.333,521.723
880,1.3433300000000001,208.849,465.055,523.29
881,1.3466600000000002,208.684,465.739,524.96
882,1.3499999999999999,208.614,466.389,526.587
883,1.35333,208.453,467.167,528.187
884,1.35666,208.433,467.779,529.851
885,1.36,208.361,468.465,531.412
886,1.3633300000000002,208.223,469.198,533.13
887,1.3666599999999998,208.185,469.832,534.686
888,1.3699999999999999,208.12,470.495,536.34
889,1.37333,207.971,471.198,537.961
890,1.37666,207.921,471.739,539.608
891,1.3800000000000001,207.862,472.504,541.245
892,1.3833300000000002,207.868,473.143,542.892
893,1.3866599999999998,207.784,473.815,544.505
894,1.39,207.678,474.526,546.156
895,1.39333,207.646,475.123,547.844
896,1.39666,207.444,475.753,549.446
897,1.4000000000000001,207.475,476.446,551.108
898,1.4033300000000002,207.437,477.104,552.696
899,1.4066599999999998,207.349,477.723,554.466
900,1.41,207.273,478.313,555.984
901,1.41333,207.218,478.934,557.669
902,1.41666,207.103,479.575,559.306
903,1.4200000000000002,207.069,480.212,561.048
904,1.4233299999999998,206.939,480.745,562.641
905,1.4266599999999998,207.004,481.389,564.276
906,1.43,206.954,482.095,565.892
907,1.43333,206.841,482.692,567.652
908,1.43666,206.801,483.278,569.187
909,1.4400000000000002,206.774,483.824,570.911
910,1.4433299999999998,206.611,484.403,572.526
911,1.4466599999999998,206.683,485.06,574.205
912,1.45,206.548,485.685,575.933
913,1.45333,206.618,486.206,577.502
914,1.45666,206.512,486.903,579.15
915,1.4600000000000002,206.44,487.405,580.985
916,1.4633299999999998,206.383,487.895,582.487
917,1.4666599999999999,206.273,488.581,584.227
918,1.47,206.201,489.147,585.896
919,1.47333,206.203,489.666,587.575
920,1.47666,206.09,490.168,589.273
