Frame,Time,X,Y,Z
473,1.57333,204.382,505.277,638.56
474,1.57666,204.311,505.658,640.283
475,1.58,204.251,506.172,641.944
476,1.58333,204.083,506.727,643.755
477,1.58666,204.09,507.136,645.437
478,1.59,204.054,507.59,647.087
479,1.59333,203.901,508.045,648.966
480,1.59666,203.864,508.609,650.538
481,1.6,203.77,508.956,652.401
482,1.60333,203.688,509.447,654.037
483,1.60666,203.741,509.909,655.784
484,1.61,203.519,510.413,657.461
485,1.61333,203.487,510.802,659.28
486,1.61666,203.394,511.165,660.906
487,1.62,203.33,511.745,662.696
488,1.62333,203.21,512.169,664.431
489,1.62666,203.178,512.599,666.108
490,1.63,203.062,512.997,667.903
491,1.63333,203.019,513.453,669.587
492,1.63666,202.865,513.844,671.276
493,1.64,202.837,514.294,673.059
494,1.64333,202.825,514.669,674.787
495,1.64666,202.636,515.061,676.495
496,1.65,202.6,515.625,678.249
497,1.65333,202.467,515.886,679.955
498,1.65666,202.402,516.312,681.724
499,1.66,202.303,516.675,683.497
500,1.66333,202.231,517.193,685.154
501,1.66666,202.149,517.566,686.875
502,1.67,202.133,517.993,688.693
503,1.67333,202.088,518.352,690.359
504,1.67666,201.973,518.78,692.092
505,1.68,201.894,519.137,693.856
506,1.68333,201.725,519.425,695.63
507,1.68666,201.62,519.767,697.394
508,1.69,201.575,520.174,699.06
509,1.69333,201.447,520.571,700.867
510,1.69666,201.271,521.026,702.546
511,1.7,201.233,521.328,704.362
512,1.70333,201.088,521.661,706.013
513,1.70666,201.012,522.059,707.825
514,1.71,200.855,522.422,709.486
515,1.71333,200.74,522.718,711.291
516,1.71666,200.699,523.062,713.024
517,1.72,200.628,523.403,714.722
518,1.72333,200.555,523.848,716.52
519,1.72666,200.515,524.076,718.232
520,1.73,200.372,524.433,719.956
521,1.73333,200.209,524.743,721.748
522,1.73666,200.134,525.1,723.494
523,1.74,199.984,525.292,725.19
524,1.74333,199.95,525.687,726.963
525,1.74666,199.897,525.933,728.744
526,1.75,199.757,526.198,730.415
527,1.75333,199.541,526.578,732.215
528,1.75666,199.46,526.827,733.96
529,1.76,199.26,527.089,735.739
530,1.76333,199.146,527.379,737.44
531,1.76666,199.091,527.544,739.159
532,1.77,198.856,527.963,740.93
533,1.77333,198.791,528.137,742.736
534,1.77666,198.625,528.378,744.424
535,1.78,198.46,528.669,746.172
536,1.78333,198.419,528.881,747.938
537,1.78666,198.319,529.148,749.635
538,1.79,198.157,529.464,751.475
539,1.79333,198.088,529.602,753.168
540,1.79666,197.998,529.803,754.991
541,1.8,197.75,530.183,756.667
542,1.80333,197.699,530.317,758.511
543,1.80666,197.584,530.588,760.143
544,1.81,197.376,530.753,762.062
545,1.81333,197.276,530.921,763.647
546,1.81666,197.148,531.059,765.522
547,1.82,196.945,531.377,767.178
548,1.82333,196.83,531.531,769.02
549,1.82666,196.767,531.836,770.756
550,1.83,196.552,531.952,772.511
551,1.83333,196.513,532.061,774.286
552,1.83666,196.35,532.278,776.079
553,1.84,196.191,532.533,777.768
554,1.84333,196.105,532.671,779.604
555,1.84666,196.05,532.888,781.335
556,1.85,195.829,532.996,783.133
557,1.85333,195.697,533.103,784.903
558,1.85666,195.642,533.342,786.626
559,1.86,195.4,533.546,788.408
560,1.86333,195.298,533.692,790.262
561,1.86666,195.173,533.687,791.933
562,1.87,195.041,533.851,793.749
563,1.87333,194.866,533.944,795.564
564,1.87666,194.818,533.99,797.244
565,1.88,194.656,534.259,799.152
566,1.88333,194.501,534.378,800.856
567,1.88666,194.332,534.403,802.634
568,1.89,194.177,534.54,804.416
569,1.89333,194.043,534.64,806.229
570,1.89666,193.987,534.737,807.903
571,1.9,193.792,534.844,809.792
572,1.90333,193.612,534.986,811.527
573,1.90666,193.478,535.002,813.334
574,1.91,193.444,535.082,815.079
575,1.91333,193.306,535.122,816.885
576,1.91666,193.155,535.203,818.733
577,1.92,193.016,535.216,820.39
578,1.92333,192.86,535.281,822.286
579,1.92666,192.655,535.351,823.965
580,1.93,192.582,535.392,825.792
581,1.93333,192.457,535.553,827.51
582,1.93666,192.236,535.469,829.284
583,1.94,192.154,535.606,831.08
584,1.94333,192.069,535.577,832.859
585,1.94666,191.895,535.713,834.541
586,1.95,191.689,535.72,836.329
587,1.95333,191.586,535.777,838.139
588,1.95666,191.399,535.763,839.836
589,1.96,191.24,535.821,841.723
590,1.96333,191.116,535.809,843.331
591,1.96666,190.961,535.724,845.125
592,1.97,190.839,535.841,846.932
593,1.97333,190.597,535.873,848.678
594,1.97666,190.553,535.824,850.414
595,1.98,190.272,535.746,852.208
596,1.98333,190.171,535.836,853.95
597,1.98666,190.013,535.788,855.633
598,1.99,189.964,535.715,857.436
599,1.99333,189.762,535.669,859.266
600,1.99666,189.572,535.696,860.971
601,2,189.494,535.717,862.757
602,2.00333,189.3,535.622,864.486
603,2.00666,189.121,535.594,866.272
604,2.01,188.878,535.56,868.026
