X (m),Y (m),Z (m)
9198.67311746988,2174.94171386808,137.4050414937759
9187.943147590362,2179.6198063219445,138.64831653823353
9177.018087349397,2185.2353736524765,140.01806461173683
9164.467274096385,2190.3218710031065,141.33925607587435
9151.883945783131,2195.4919057189845,142.6830320094843
9142.129427710843,2201.5065960168104,143.9669590989923
9129.025858433735,2207.1685729947017,145.30847658565503
9115.206957831326,2213.5731043303495,146.60821280379372
9109.874487951807,2217.5643340032893,148.04684350918788
9095.372771084338,2222.790060295999,149.32399525785416
9086.171009036143,2229.510177233693,150.6971310017783
9075.1809186747,2234.7730312442905,151.84780972139893
9060.646686746988,2241.214690297826,153.30112033195022
9050.079292168673,2245.9670381874657,154.57149673977474
9041.332740963855,2253.281198611365,156.10159454653228
9026.798509036145,2259.230915402887,157.30082987551867
