Frame,Time,X (m),Y (m),Z (m)
711.0,2.36667,2.45009,3.21232,2.7055599999999997
712.0,2.37,2.44748,3.22047,2.7172199999999997
713.0,2.37333,2.4441800000000002,3.22924,2.73165
714.0,2.37667,2.44312,3.23685,2.74573
715.0,2.38,2.44041,3.2446699999999997,2.75808
716.0,2.38333,2.43711,3.2540199999999997,2.77163
717.0,2.38667,2.43535,3.2612,2.78444
718.0,2.39,2.43165,3.27051,2.79832
719.0,2.39333,2.42966,3.2792000000000003,2.81099
720.0,2.39667,2.42749,3.2864299999999997,2.8245999999999998
721.0,2.4,2.42415,3.29603,2.8380099999999997
722.0,2.40333,2.42172,3.3030500000000003,2.85082
723.0,2.40667,2.41853,3.31272,2.86519
724.0,2.41,2.4154400000000003,3.31985,2.87726
725.0,2.41333,2.4132499999999997,3.32954,2.89113
726.0,2.41667,2.41007,3.33816,2.90442
727.0,2.42,2.40793,3.3456200000000003,2.91741
728.0,2.42333,2.40505,3.3538799999999998,2.93202
729.0,2.42667,2.40249,3.36293,2.94471
730.0,2.43,2.3999,3.37179,2.9580200000000003
731.0,2.43333,2.39682,3.38046,2.97221
732.0,2.43667,2.39453,3.38857,2.98524
733.0,2.44,2.39222,3.3975,2.9994799999999997
734.0,2.44333,2.39042,3.40611,3.0122199999999997
735.0,2.44667,2.38714,3.41431,3.0263
736.0,2.45,2.38504,3.4224,3.04034
737.0,2.45333,2.38209,3.43136,3.0532999999999997
738.0,2.45667,2.37885,3.4404700000000004,3.06681
739.0,2.46,2.3775299999999997,3.4475700000000002,3.08021
740.0,2.46333,2.37391,3.45663,3.09418
741.0,2.46667,2.37175,3.46511,3.1078300000000003
742.0,2.47,2.36956,3.47439,3.1216199999999996
743.0,2.47333,2.36639,3.4822100000000002,3.1346100000000003
744.0,2.47667,2.36382,3.4906200000000003,3.14727
745.0,2.48,2.36139,3.50023,3.1630700000000003
746.0,2.48333,2.35939,3.5079700000000003,3.1762
747.0,2.48667,2.35692,3.51752,3.1889100000000004
748.0,2.49,2.3550299999999997,3.5259899999999997,3.2040699999999998
749.0,2.49333,2.35157,3.53403,3.21698
750.0,2.49667,2.34905,3.5427999999999997,3.23036
751.0,2.5,2.34736,3.55254,3.24569
752.0,2.50333,2.34444,3.56092,3.25751
753.0,2.50667,2.3431100000000002,3.5693900000000003,3.27226
754.0,2.51,2.3396500000000002,3.5791500000000003,3.2868
755.0,2.51333,2.33788,3.58695,3.29976
756.0,2.51667,2.33512,3.5968400000000003,3.3145299999999995
757.0,2.52,2.33251,3.60526,3.32769
758.0,2.52333,2.33048,3.61362,3.3414699999999997
759.0,2.52667,2.32776,3.6229500000000003,3.3571
760.0,2.53,2.32532,3.63103,3.3695800000000005
761.0,2.53333,2.32319,3.64021,3.38456
762.0,2.53667,2.32022,3.6494299999999997,3.39866
763.0,2.54,2.3172900000000003,3.6582999999999997,3.41242
764.0,2.54333,2.31527,3.6670499999999997,3.4268
765.0,2.54667,2.3127,3.6762200000000003,3.44101
766.0,2.55,2.31006,3.6855399999999996,3.4555399999999996
767.0,2.55333,2.30766,3.6935599999999997,3.4701600000000004
768.0,2.55667,2.3049,3.7029199999999998,3.48409
769.0,2.56,2.3021700000000003,3.7122100000000002,3.49822
770.0,2.56333,2.29976,3.72214,3.51317
771.0,2.56667,2.29739,3.72943,3.5274
772.0,2.57,2.2952,3.73809,3.54224
773.0,2.57333,2.29226,3.74853,3.55695
774.0,2.57667,2.29108,3.7567500000000003,3.57096
775.0,2.58,2.28695,3.76587,3.58576
776.0,2.58333,2.28551,3.77556,3.6006400000000003
777.0,2.58667,2.28273,3.78457,3.61563
778.0,2.59,2.2805,3.79325,3.6301
779.0,2.59333,2.27822,3.80223,3.64447
780.0,2.59667,2.27604,3.81149,3.65985
781.0,2.6,2.27266,3.822,3.67456
782.0,2.60333,2.27084,3.83027,3.6890899999999998
783.0,2.60667,2.26808,3.83874,3.70361
784.0,2.61,2.2653499999999998,3.8494099999999998,3.72051
785.0,2.61333,2.26362,3.85726,3.73374
786.0,2.61667,2.2610900000000003,3.86726,3.7488900000000003
787.0,2.62,2.2586500000000003,3.8763,3.7647899999999996
788.0,2.62333,2.25538,3.8847699999999996,3.77906
789.0,2.62667,2.25374,3.89522,3.79486
790.0,2.63,2.25069,3.9045900000000002,3.8090300000000004
791.0,2.63333,2.249,3.91332,3.82433
792.0,2.63667,2.24673,3.92236,3.84006
793.0,2.64,2.2432499999999997,3.93142,3.85428
794.0,2.64333,2.24233,3.94176,3.8701499999999998
795.0,2.64667,2.23823,3.95043,3.88561
796.0,2.65,2.2365,3.9598899999999997,3.9002999999999997
797.0,2.65333,2.2336,3.96907,3.9161900000000003
798.0,2.65667,2.2313,3.97725,3.93047
799.0,2.66,2.22947,3.98729,3.9475
800.0,2.66333,2.22669,3.9962400000000002,3.9616000000000002
801.0,2.66667,2.22407,4.00637,3.97677
802.0,2.67,2.22147,4.01485,3.9928399999999997
803.0,2.67333,2.21855,4.02404,4.00861
804.0,2.67667,2.21714,4.03311,4.02393
805.0,2.68,2.2148,4.04237,4.0391
806.0,2.68333,2.21281,4.05133,4.05461
807.0,2.68667,2.21124,4.06118,4.0711200000000005
808.0,2.69,2.2077,4.07069,4.08615
809.0,2.69333,2.20609,4.07853,4.10106
810.0,2.69667,2.20309,4.08795,4.11757
811.0,2.7,2.20172,4.09692,4.13319
812.0,2.70333,2.19971,4.10646,4.14841
813.0,2.70667,2.19759,4.11466,4.16367
814.0,2.71,2.19484,4.1242399999999995,4.18032
815.0,2.71333,2.19227,4.13269,4.19501
816.0,2.71667,2.19029,4.14222,4.21023
817.0,2.72,2.18815,4.15123,4.22677
818.0,2.72333,2.18663,4.15944,4.24258
819.0,2.72667,2.1847,4.1680399999999995,4.25752
820.0,2.73,2.18284,4.17693,4.27316
821.0,2.73333,2.17936,4.1862900000000005,4.2901299999999996
822.0,2.73667,2.17786,4.1937299999999995,4.30445
823.0,2.74,2.17567,4.20284,4.32035
824.0,2.74333,2.1734999999999998,4.21145,4.3368
825.0,2.74667,2.17117,4.220079999999999,4.35189
826.0,2.75,2.16959,4.22769,4.36731
827.0,2.75333,2.16689,4.2368500000000004,4.3834100000000005
828.0,2.75667,2.16518,4.24438,4.39911
829.0,2.76,2.16332,4.254239999999999,4.4156
830.0,2.76333,2.16045,4.2626100000000005,4.43045
831.0,2.76667,2.1593199999999997,4.270230000000001,4.44709
832.0,2.77,2.1558699999999997,4.2798300000000005,4.46227
833.0,2.77333,2.15488,4.2877600000000005,4.4785
834.0,2.77667,2.1518100000000002,4.2961,4.49395
835.0,2.78,2.15069,4.30459,4.5102
836.0,2.78333,2.14955,4.3132,4.52639
837.0,2.78667,2.14756,4.32055,4.54058
838.0,2.79,2.14579,4.329289999999999,4.55864
839.0,2.79333,2.14306,4.33812,4.57345
840.0,2.79667,2.1425,4.34563,4.58909
841.0,2.8,2.13958,4.35414,4.60552
842.0,2.80333,2.13862,4.36223,4.621379999999999
843.0,2.80667,2.13724,4.371,4.6370499999999995
844.0,2.81,2.13528,4.37904,4.65312
845.0,2.81333,2.13357,4.38601,4.66994
846.0,2.81667,2.13139,4.39532,4.6838999999999995
847.0,2.82,2.1312200000000003,4.40332,4.70109
848.0,2.82333,2.1295699999999997,4.41207,4.71759
849.0,2.82667,2.128,4.41969,4.73265
850.0,2.83,2.12637,4.42772,4.74878
851.0,2.83333,2.1239,4.43448,4.76525
852.0,2.83667,2.12249,4.44306,4.78156
853.0,2.84,2.12077,4.45033,4.7966500000000005
854.0,2.84333,2.1200200000000002,4.45744,4.81325
855.0,2.84667,2.11775,4.46683,4.82937
856.0,2.85,2.11645,4.47412,4.8449599999999995
857.0,2.85333,2.11422,4.481190000000001,4.86204
858.0,2.85667,2.1129599999999997,4.48879,4.87689
859.0,2.86,2.1114699999999997,4.49644,4.8933100000000005
860.0,2.86333,2.1109299999999998,4.50443,4.909940000000001
861.0,2.86667,2.1095699999999997,4.51185,4.92583
862.0,2.87,2.10821,4.51964,4.9418
863.0,2.87333,2.10745,4.52698,4.95803
864.0,2.87667,2.10464,4.53483,4.97444
865.0,2.88,2.1036,4.5416300000000005,4.99047
866.0,2.88333,2.10332,4.5501499999999995,5.00645
867.0,2.88667,2.10155,4.55751,5.02216
868.0,2.89,2.10129,4.56501,5.03884
869.0,2.89333,2.09898,4.57214,5.05497
870.0,2.89667,2.09857,4.57889,5.07087
871.0,2.9,2.09706,4.58629,5.08735
872.0,2.90333,2.0963,4.59353,5.10395
873.0,2.90667,2.0953399999999998,4.60016,5.11971
874.0,2.91,2.09435,4.60848,5.135879999999999
875.0,2.91333,2.0937200000000002,4.61474,5.15197
876.0,2.91667,2.09174,4.62221,5.16808
877.0,2.92,2.09076,4.6291,5.18475
878.0,2.92333,2.09047,4.6361799999999995,5.20036
879.0,2.92667,2.0891,4.643330000000001,5.21723
880.0,2.93,2.0884899999999997,4.65055,5.2329
881.0,2.93333,2.08684,4.6573899999999995,5.2496
882.0,2.93667,2.08614,4.66389,5.26587
883.0,2.94,2.08453,4.67167,5.2818700000000005
884.0,2.94333,2.08433,4.67779,5.29851
885.0,2.94667,2.0836099999999997,4.6846499999999995,5.31412
886.0,2.95,2.08223,4.69198,5.3313
887.0,2.95333,2.08185,4.69832,5.34686
888.0,2.95667,2.0812,4.70495,5.3634
889.0,2.96,2.07971,4.71198,5.3796100000000004
890.0,2.96333,2.07921,4.71739,5.3960799999999995
891.0,2.96667,2.07862,4.72504,5.41245
892.0,2.97,2.07868,4.73143,5.428920000000001
893.0,2.97333,2.07784,4.73815,5.44505
894.0,2.97667,2.07678,4.74526,5.4615599999999995
895.0,2.98,2.07646,4.75123,5.478440000000001
896.0,2.98333,2.07444,4.75753,5.49446
897.0,2.98667,2.07475,4.764460000000001,5.51108
898.0,2.99,2.07437,4.77104,5.52696
899.0,2.99333,2.07349,4.77723,5.54466
900.0,2.99667,2.07273,4.78313,5.55984
901.0,3.0,2.07218,4.78934,5.57669
902.0,3.00333,2.07103,4.79575,5.59306
903.0,3.00667,2.07069,4.8021199999999995,5.61048
904.0,3.01,2.06939,4.80745,5.62641
905.0,3.01333,2.07004,4.81389,5.642759999999999
906.0,3.01667,2.06954,4.82095,5.65892
907.0,3.02,2.06841,4.82692,5.67652
908.0,3.02333,2.0680099999999997,4.8327800000000005,5.69187
909.0,3.02667,2.06774,4.83824,5.709109999999999
910.0,3.03,2.06611,4.84403,5.72526
911.0,3.03333,2.06683,4.8506,5.742050000000001
912.0,3.03667,2.06548,4.85685,5.75933
913.0,3.04,2.06618,4.8620600000000005,5.77502
914.0,3.04333,2.06512,4.86903,5.7915
915.0,3.04667,2.0644,4.8740499999999995,5.80985
916.0,3.05,2.0638300000000003,4.87895,5.82487
917.0,3.05333,2.06273,4.88581,5.84227
918.0,3.05667,2.06201,4.89147,5.85896
919.0,3.06,2.06203,4.89666,5.87575
920.0,3.06333,2.0609,4.90168,5.89273
921.0,3.06667,2.06095,4.90855,5.909120000000001
922.0,3.07,2.06014,4.91401,5.92546
923.0,3.07333,2.05925,4.91952,5.94279
924.0,3.07667,2.0594300000000003,4.92409,5.9596100000000005
925.0,3.08,2.05761,4.9295800000000005,5.9767399999999995
926.0,3.08333,2.05779,4.9359,5.99375
927.0,3.08667,2.05768,4.94094,6.009729999999999
928.0,3.09,2.0562899999999997,4.9465699999999995,6.0275099999999995
929.0,3.09333,2.05647,4.95249,6.044020000000001
930.0,3.09667,2.05572,4.95702,6.06106
931.0,3.1,2.05465,4.96148,6.07846
932.0,3.10333,2.05348,4.96779,6.09472
933.0,3.10667,2.05263,4.97218,6.11245
934.0,3.11,2.0524,4.97748,6.129059999999999
935.0,3.11333,2.05222,4.98279,6.1465
936.0,3.11667,2.05124,4.98857,6.16291
937.0,3.12,2.0512799999999998,4.9928300000000005,6.17966
938.0,3.12333,2.0508699999999997,4.99802,6.19817
939.0,3.12667,2.04963,5.00366,6.21346
940.0,3.13,2.04955,5.008430000000001,6.23202
941.0,3.13333,2.04821,5.01372,6.24831
942.0,3.13667,2.04784,5.01719,6.2657799999999995
943.0,3.14,2.04732,5.02304,6.2829
944.0,3.14333,2.0462000000000002,5.02888,6.299880000000001
945.0,3.14667,2.0465,5.03314,6.31691
946.0,3.15,2.04559,5.03824,6.3337699999999995
947.0,3.15333,2.04447,5.04302,6.35203
948.0,3.15667,2.04429,5.04757,6.36782
949.0,3.16,2.04382,5.05277,6.385599999999999
950.0,3.16333,2.04311,5.05658,6.40283
951.0,3.16667,2.04251,5.06172,6.41944
952.0,3.17,2.04083,5.06727,6.43755
953.0,3.17333,2.0409,5.07136,6.45437
954.0,3.17667,2.04054,5.0759,6.47087
955.0,3.18,2.03901,5.08045,6.48966
956.0,3.18333,2.03864,5.0860899999999996,6.50538
957.0,3.18667,2.0377,5.0895600000000005,6.52401
958.0,3.19,2.03688,5.09447,6.54037
959.0,3.19333,2.03741,5.09909,6.55784
960.0,3.19667,2.03519,5.1041300000000005,6.57461
961.0,3.2,2.0348699999999997,5.10802,6.5927999999999995
962.0,3.20333,2.03394,5.11165,6.6090599999999995
963.0,3.20667,2.0333,5.11745,6.62696
964.0,3.21,2.0321000000000002,5.12169,6.644310000000001
965.0,3.21333,2.03178,5.125990000000001,6.661079999999999
966.0,3.21667,2.0306200000000003,5.129969999999999,6.67903
967.0,3.22,2.03019,5.13453,6.69587
968.0,3.22333,2.0286500000000003,5.13844,6.712759999999999
969.0,3.22667,2.02837,5.142939999999999,6.730589999999999
