Frame,Time,X (cm),Y (cm),Z (cm)
625.0,2.08,27.0734,25.611900000000002,16.3031
626.0,2.08333,27.0507,25.6895,16.4327
627.0,2.08667,27.0037,25.7459,16.5396
628.0,2.09,26.9717,25.8168,16.6603
629.0,2.09333,26.9475,25.883300000000002,16.7808
630.0,2.09667,26.902800000000003,25.955399999999997,16.9002
631.0,2.1,26.8673,26.0166,17.0201
632.0,2.10333,26.831400000000002,26.076900000000002,17.1375
633.0,2.10667,26.8028,26.1565,17.262700000000002
634.0,2.11,26.764,26.2147,17.375
635.0,2.11333,26.731299999999997,26.2909,17.4892
636.0,2.11667,26.701,26.3611,17.6216
637.0,2.12,26.6709,26.4347,17.7445
638.0,2.12333,26.6421,26.4985,17.8571
639.0,2.12667,26.606299999999997,26.5687,17.9739
640.0,2.13,26.588,26.6384,18.0972
641.0,2.13333,26.5462,26.7132,18.217
642.0,2.13667,26.512,26.7798,18.3344
643.0,2.14,26.4789,26.8416,18.459200000000003
644.0,2.14333,26.4392,26.9139,18.5839
645.0,2.14667,26.414800000000003,26.9885,18.7001
646.0,2.15,26.3779,27.057799999999997,18.811600000000002
647.0,2.15333,26.3488,27.131999999999998,18.954
648.0,2.15667,26.320600000000002,27.193900000000003,19.0622
649.0,2.16,26.2751,27.276699999999998,19.1853
650.0,2.16333,26.252999999999997,27.339800000000004,19.310200000000002
651.0,2.16667,26.2252,27.4166,19.4371
652.0,2.17,26.1921,27.497000000000003,19.558799999999998
653.0,2.17333,26.171100000000003,27.560899999999997,19.6666
654.0,2.17667,26.1384,27.649700000000003,19.8097
655.0,2.18,26.102899999999998,27.714299999999998,19.918100000000003
656.0,2.18333,26.0693,27.7868,20.0405
657.0,2.18667,26.0389,27.865199999999998,20.1739
658.0,2.19,26.017500000000002,27.9366,20.291999999999998
659.0,2.19333,25.9835,28.011599999999998,20.4101
660.0,2.19667,25.9532,28.090600000000002,20.5403
661.0,2.2,25.924,28.160199999999996,20.6656
662.0,2.20333,25.891199999999998,28.244099999999996,20.7896
663.0,2.20667,25.8567,28.320100000000004,20.9068
