Frame,Time,X,Y,Z,vx,vy,vz,ax,ay,az
27,0.08666,301.532,204.475,50.951,-2.694610778,20.65868263,97.90419162,-4497.936209,6312.293146,3954.167513
28,0.09,301.523,204.544,51.278,-17.71771772,41.74174174,111.1111111,-901.8027036,-2885.768652,-721.4421629
29,0.09333,301.464,204.683,51.648,-20.72072072,32.13213213,108.7087087,-880.4726397,-7671.262998,-996.8429885
30,0.09666,301.395,204.79,52.01,-23.65269461,6.586826347,105.3892216,-470.8175492,-2151.924236,544.3070809
31,0.1,301.316,204.812,52.362,-25.22522523,-0.600600601,107.2072072,3877.751625,16052.08812,4509.013518
32,0.10333,301.232,204.81,52.719,-12.31231231,52.85285285,122.2222222,3787.301354,-2744.828229,-1818.185451
33,0.10666,301.191,204.986,53.126,0.299401198,43.71257485,116.1676647,9890.398843,-12098.5843,8016.550381
34,0.11,301.192,205.132,53.514,33.33333333,3.303303303,142.9429429,-12444.87731,10551.09163,5230.455681
35,0.11333,301.303,205.143,53.99,-8.108108108,38.43843844,160.3603604,-6016.698038,4820.594452,-5898.437684
36,0.11666,301.276,205.271,54.524,-28.14371257,54.49101796,140.7185629,1143.529416,-4356.610187,-3290.069804
37,0.12,301.182,205.453,54.994,-24.32432432,39.93993994,129.7297297,6132.258385,1442.884326,991.982974
38,0.12333,301.101,205.586,55.426,-3.903903904,44.74474474,133.033033,-4941.554815,-2917.358746,3836.441502
39,0.12666,301.088,205.735,55.869,-20.35928144,35.02994012,145.8083832,251.4257238,5605.932226,2378.853449
40,0.13,301.02,205.852,56.356,-19.51951952,53.75375375,153.7537538,2705.408111,-450.9013518,7394.78217
41,0.13333,300.955,206.031,56.868,-10.51051051,52.25225225,178.3783784,-170.3705108,-2204.82661,-4116.432341
42,0.13666,300.92,206.205,57.462,-11.07784431,44.91017964,164.6706587,-2347.627128,2917.507489,-1560.239288
43,0.14,300.883,206.355,58.012,-18.91891892,54.65465465,159.4594595,-5771.537303,-450.9013518,3426.850274
44,0.14333,300.82,206.537,58.543,-38.13813814,53.15315315,170.8708709,-2842.838523,1031.133091,-4379.413129
45,0.14666,300.693,206.714,59.112,-47.60479042,56.58682635,156.2874251,4362.801613,3557.377881,3467.198419
46,0.15,300.534,206.903,59.634,-33.03303303,68.46846847,167.8678679,11543.07461,8747.486225,4148.292437
47,0.15333,300.424,207.131,60.193,5.405405405,97.5975976,181.6816817,-1083.783249,-14113.75231,6400.099187
48,0.15666,300.442,207.456,60.798,1.796407186,50.5988024,202.994012,-19059.36199,-6338.135618,-12135.19447
49,0.16,300.448,207.625,61.476,-61.86186186,29.42942943,162.4624625,3246.489733,4689.374059,11993.97596
50,0.16333,300.242,207.723,62.017,-51.05105105,45.04504505,202.4024024,3822.131459,13625.86085,-1170.993511
51,0.16666,300.072,207.873,62.691,-38.32335329,90.41916168,198.502994,684.8255262,-3694.935209,3595.06482
52,0.17,299.944,208.175,63.354,-36.03603604,78.07807808,210.5105105,-541.0816222,-5230.455681,-7755.503251
53,0.17333,299.824,208.435,64.055,-37.83783784,60.66066066,184.6846847,-415.5312458,9565.858678,4059.732171
54,0.17666,299.698,208.637,64.67,-39.22155689,92.51497006,198.2035928,-3272.033911,-5581.166523,6561.834523
55,0.18,299.567,208.946,65.332,-50.15015015,73.87387387,220.1201201,4959.91487,360.7210814,-4509.013518
56,0.18333,299.4,209.192,66.065,-33.63363363,75.07507508,205.1051051,-2577.157726,-1685.885054,5569.846698
